Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
sh-1193-rep2	GSM1329931	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-4161-rep2	GSM1329932	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-4168-rep2	GSM1329933	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-4224-rep2	GSM1329934	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-4231-rep2	GSM1329935	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-5445-rep2	GSM1329936	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-5451-rep2	GSM1329937	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-7841-rep2	GSM1329938	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
sh-8165-rep2	GSM1329939	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
control-rep2	GSM1329940	GSE55131	GPL13112	SRA	liver	Mus musculus	"strain: BALB/c;	age: 6-8 weeks;	tissue: Liver"	total RNA
WT-1	GSM1331164	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: wild type"	total RNA
WT-2	GSM1331167	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: wild type"	total RNA
WT-3	GSM1331169	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: wild type"	total RNA
Stra8-KO-1	GSM1331171	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: upf2 knockout"	total RNA
Stra8-KO-2	GSM1331173	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: upf2 knockout"	total RNA
Stra8-KO-3	GSM1331175	GSE55180	GPL9185	SRA	whole testis	Mus musculus	"cell type: All cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: upf2 knockout"	total RNA
WT_rspd	GSM1331177	GSE55180	GPL9185	SRA	testis round sperm	Mus musculus	"cell type: round sperm cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: wild type"	total RNA
WT_spc	GSM1331178	GSE55180	GPL9185	SRA	testis pachytene	Mus musculus	"cell type: pachytene cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: wild type"	total RNA
Stra8-KO_rspd	GSM1331180	GSE55180	GPL9185	SRA	testis round sperm	Mus musculus	"cell type: Upf2 Knockout round sperm cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: upf2 knockout"	total RNA
Stra8-KO_spc	GSM1331182	GSE55180	GPL9185	SRA	testis pachytene	Mus musculus	"cell type: Upf2 knockout pachytene cell;	age: 6 weeks;	passages: 15-18;	strain: C57BL/6;	genotype/variation: upf2 knockout"	total RNA
205	GSM1331263	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: WT/WT"	polyA RNA
207	GSM1331264	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
211	GSM1331265	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
217	GSM1331266	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
236	GSM1331267	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
237	GSM1331268	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: WT/D257A"	polyA RNA
239	GSM1331269	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: WT/WT"	polyA RNA
240	GSM1331270	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
246	GSM1331271	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: WT/WT"	polyA RNA
248	GSM1331272	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
249	GSM1331273	GSE55188	GPL13112	SRA	Cerebrum	Mus musculus	"gender: male;	tissue: Cerebrum;	strain: C57/Bl6;	age: 1 year;	genotype/variation: Mutator"	polyA RNA
Eosinophils -IL-10 -LPS replicate 1	GSM1335234	GSE55385	GPL13112	SRA	Bone marrow-derived Eosinophils	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Eosinophils -IL-10 -LPS replicate 2	GSM1335235	GSE55385	GPL13112	SRA	Bone marrow-derived Eosinophils	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Eosinophils -IL-10 +LPS replicate 1	GSM1335236	GSE55385	GPL13112	SRA	Bone marrow-derived Eosinophils	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Eosinophils -IL-10 +LPS replicate 2	GSM1335237	GSE55385	GPL13112	SRA	Bone marrow-derived Eosinophils	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
PEC macrophage -IL10 -LPS replicate 1	GSM1335238	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
PEC macrophage -IL10 -LPS replicate 2	GSM1335239	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
PEC macrophage -IL10 +LPS replicate 1	GSM1335240	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
PEC macrophage -IL10 +LPS replicate 2	GSM1335241	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
PEC macrophage +IL10 -LPS replicate 1	GSM1335242	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
PEC macrophage +IL10 -LPS replicate 2	GSM1335243	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
PEC macrophage +IL10 +LPS replicate 1	GSM1335244	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
PEC macrophage +IL10 +LPS replicate 2	GSM1335245	GSE55385	GPL13112	SRA	Peritoneal exudate cells (adherent cells)	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Mast cell -IL10 -LPS replicate 1	GSM1335246	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Mast cell -IL10 -LPS replicate 2	GSM1335247	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Mast cell -IL10 +LPS replicate 1	GSM1335248	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Mast cell -IL10 +LPS replicate 2	GSM1335249	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Mast cell +IL10 -LPS replicate 1	GSM1335250	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Mast cell +IL10 -LPS replicate 2	GSM1335251	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Mast cell +IL10 +LPS replicate 1	GSM1335252	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Mast cell +IL10 +LPS replicate 2	GSM1335253	GSE55385	GPL13112	SRA	Bone marrow-derived mast cell	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Neutrophil -IL10 -LPS replicate 1	GSM1335254	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Neutrophil -IL10 -LPS replicate 2	GSM1335255	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Neutrophil -IL10 +LPS replicate 1	GSM1335256	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Neutrophil -IL10 +LPS replicate 2	GSM1335257	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Neutrophil +IL10 -LPS replicate 1	GSM1335258	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Neutrophil +IL10 -LPS replicate 2	GSM1335259	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Neutrophil +IL10 +LPS replicate 1	GSM1335260	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Neutrophil +IL10 +LPS replicate 2	GSM1335261	GSE55385	GPL13112	SRA	Bone marrow neutrophil	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell -IL10 -LPS replicate 1	GSM1335262	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell -IL10 -LPS replicate 2	GSM1335263	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: None;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell -IL10 +LPS replicate 1	GSM1335264	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell -IL10 +LPS replicate 2	GSM1335265	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: LPS;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell +IL10 -LPS replicate 1	GSM1335266	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell +IL10 -LPS replicate 2	GSM1335267	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: IL10;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell +IL10 +LPS replicate 1	GSM1335268	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
Splenic dendritic cell +IL10 +LPS replicate 2	GSM1335269	GSE55385	GPL13112	SRA	spleen-purified dendritic cells	Mus musculus	"treatment: IL10, LPS;	strain: C57Bl6cJ"	total RNA
naÌøve CD4+ T cells anti-CD3/28 treated 24 hours	GSM1335270	GSE55385	GPL13112	SRA	CD4+ naÌøve T cells	Mus musculus	"treatment: anti-CD3, anti-CD28;	strain: C57Bl6cJ"	total RNA
IM012_8_PBS_1_mRNA	GSM1337707	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_9_PBS_2_mRNA	GSM1337708	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_10_PBS_3_mRNA	GSM1337709	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_11_IFN_1_mRNA	GSM1337710	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
IM012_13_IFN_3_mRNA	GSM1337711	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
IM012_14_IFN_4_mRNA	GSM1337712	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
IM012_8_PBS_1_WT	GSM1337713	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_9_PBS_2_WT	GSM1337714	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_10_PBS_3_WT	GSM1337715	GSE55480	GPL11002	SRA	"lung, PBS, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: PBS;	time post treatment: 12 hr"	total RNA
IM012_11_IFN_1_WT	GSM1337716	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
IM012_13_IFN_3_WT	GSM1337717	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
IM012_14_IFN_4_WT	GSM1337718	GSE55480	GPL11002	SRA	"lung, IFN, 12 hr"	Mus musculus	"strain/background: C57BL/6J;	age: 6 weeks;	tissue: lung;	treatment: interferon (IFN);	time post treatment: 12 hr"	total RNA
mESC WT	GSM1346027	GSE55782	GPL13112	SRA	"mouse embryonic stem cells (mESC), WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: mouse embryonic stem cells (mESC);	cell line: JM8 clone"	total RNA
mESC KO	GSM1346028	GSE55782	GPL13112	SRA	"mouse embryonic stem cells (mESC), TAF9B KO"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: TAF9B -/-;	cell type: mouse embryonic stem cells (mESC);	cell line: Taf9b_BG10 clone"	total RNA
EB_Day2_WT	GSM1346029	GSE55782	GPL13112	SRA	"embryoid bodies (EB)-Day 2, WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: embryoid bodies (EB)-Day 2;	cell line: JM8 clone"	total RNA
EB_Day2_KO	GSM1346030	GSE55782	GPL13112	SRA	"embryoid bodies (EB)-Day 2, TAF9B KO"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: TAF9B -/-;	cell type: embryoid bodies (EB)-Day 2;	cell line: Taf9b_BG10 clone"	total RNA
EB_Day4_WT	GSM1346031	GSE55782	GPL13112	SRA	"EB-Day4-neuronal progenitors, WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: EB-Day4-neuronal progenitors;	cell line: JM8 clone"	total RNA
EB_Day4_KO	GSM1346032	GSE55782	GPL13112	SRA	"EB-Day4-neuronal progenitors, TAF9B KO"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: TAF9B -/-;	cell type: EB-Day4-neuronal progenitors;	cell line: Taf9b_BG10 clone"	total RNA
EB_Day6_WT	GSM1346033	GSE55782	GPL13112	SRA	"EB-Day6-Motor neuron, WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: EB-Day6-Motor neuron;	cell line: JM8 clone"	total RNA
EB_Day6_KO	GSM1346034	GSE55782	GPL13112	SRA	"EB-Day6-Motor neuron, TAF9B KO"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: TAF9B -/-;	cell type: EB-Day6-Motor neuron;	cell line: Taf9b_BG10 clone"	total RNA
SC_NB_WT	GSM1346035	GSE55782	GPL13112	SRA	"Mouse newborn spinal column tissue, WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: newborn spinal column tissue;	cell line: JM8 clone"	total RNA
SC_NB_KO	GSM1346036	GSE55782	GPL13112	SRA	"Mouse newborn spinal column tissue, TAF9B KO"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: TAF9B -/-;	cell type: newborn spinal column tissue;	cell line: Taf9b_BG10 clone"	total RNA
SCord_WT	GSM1346037	GSE55782	GPL13112	SRA	"Mouse newborn spinal cord tissue, WT"	Mus musculus	"strain/background: C57BL/6;	genotype/variation: wild type;	cell type: newborn spinal cord tissue;	cell line: JM8 clone"	total RNA
Smad3-KO-GBM-H482	GSM1346276	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, anti-GBM GN"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: anti-GBM GN"	total RNA
Smad3-KO-GBM-L762	GSM1346277	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, anti-GBM GN"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: anti-GBM GN"	total RNA
Smad3-KO-Normal-H106	GSM1346278	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, normal"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: normal (untreated)"	total RNA
Smad3-KO-Normal-U409	GSM1346279	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, normal"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: normal (untreated)"	total RNA
Smad3-KO-UUO-X544	GSM1346280	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, UUO"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: UUO"	total RNA
Smad3-KO-UUO-X547	GSM1346281	GSE55808	GPL13112	SRA	"kidney tissue, Smad3-KO, UUO"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: Smad3-KO;	tissue: kidney;	disease model: UUO"	total RNA
WT-GBM-Y541	GSM1346282	GSE55808	GPL13112	SRA	"kidney tissue, WT, anti-GBM GN"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: anti-GBM GN"	total RNA
WT-GBM-Y555	GSM1346283	GSE55808	GPL13112	SRA	"kidney tissue, WT, anti-GBM GN"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: anti-GBM GN"	total RNA
WT-Normal-Y214	GSM1346284	GSE55808	GPL13112	SRA	"kidney tissue, WT, normal"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: normal (untreated)"	total RNA
WT-Normal-Y217	GSM1346285	GSE55808	GPL13112	SRA	"kidney tissue, WT, normal"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: normal (untreated)"	total RNA
WT-UUO-G232	GSM1346286	GSE55808	GPL13112	SRA	"kidney tissue, WT, UUO"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: UUO"	total RNA
WT-UUO-G233	GSM1346287	GSE55808	GPL13112	SRA	"kidney tissue, WT, UUO"	Mus musculus	"strain/background: C57BL/6J;	genotype/variation: WT;	tissue: kidney;	disease model: UUO"	total RNA
Celf1heart_ctl_A3250	GSM1357348	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_ctl_A3259	GSM1357349	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_ctl_A3280	GSM1357350	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_12h_A3258	GSM1357351	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 12 hours"	polyA RNA
Celf1heart_12h_A3252	GSM1357352	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 12 hours"	polyA RNA
Celf1heart_12h_A3276	GSM1357353	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 12 hours"	polyA RNA
Celf1heart_24h_A3254	GSM1357354	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 24 hours"	polyA RNA
Celf1heart_24h_A3277	GSM1357355	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 24 hours"	polyA RNA
Celf1heart_24h_A3262	GSM1357356	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 24 hours"	polyA RNA
Celf1heart_72h_A3278	GSM1357357	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_72h_A3281	GSM1357358	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_72h_A3264	GSM1357359	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 72 hours"	polyA RNA
Celf1heart_7dy_A3345	GSM1357360	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 7 days"	polyA RNA
Celf1heart_7dy_A3283	GSM1357361	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 7 days"	polyA RNA
Celf1heart_7dy_A3269	GSM1357362	GSE56185	GPL9250	SRA	heart (ventricle)	Mus musculus	"strain: MHCrtTA/TRECUGBP1;	treatment: 2 g/kg dox;	time point: 7 days"	polyA RNA
Day_0_Mouse_1	GSM1435114	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 0 Mouse	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_0_Mouse_2	GSM1435115	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 0 Mouse	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_0_Mouse_3	GSM1435116	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 0 Mouse	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_1_Left	GSM1435117	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse left ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_1_Right	GSM1435118	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse right ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_2_Left	GSM1435119	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse left ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_2_right	GSM1435120	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse right ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_3_Left	GSM1435121	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse left ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Mouse_3_right	GSM1435122	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 1 Mouse right ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_1_Uninfected_Mouse_1	GSM1435123	GSE56227	GPL13112	SRA	Mus musculus Day 1 Uninfected Mouse	Mus musculus	"tissue type: ear;	agent: None"	total RNA
Day_1_Uninfected_Mouse_2	GSM1435124	GSE56227	GPL13112	SRA	Mus musculus Day 1 Uninfected Mouse	Mus musculus	"tissue type: ear;	agent: None"	total RNA
Day_1_Uninfected_Mouse_3	GSM1435125	GSE56227	GPL13112	SRA	Mus musculus Day 1 Uninfected Mouse	Mus musculus	"tissue type: ear;	agent: None"	total RNA
Day_4_Mouse_1_Left	GSM1435126	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 4 Mouse left ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_4_Mouse_1_Right	GSM1435127	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 4 Mouse right ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
Day_4_Mouse_2_Left	GSM1435128	GSE56227	GPL13112	SRA	Mus musculus + Staphylococcus aureus Day 4 Mouse left ear	Mus musculus	"tissue type: ear;	agent: Staphylococcus aureus"	total RNA
